ipc	ocorrencias_na_amostra
A61K 31/4704	1
A61K 31/4738	1
A61K 31/498	1
A61K 31/501	1
A61K 31/504	1
A61K 31/529	1
A61K 31/5365	1
A61K 31/5383	1
A61K 31/5386	1
A61K 31/541	1
A61K 31/545	1
A61K 31/551	1
A61K 31/554	1
A61K 31/565	1
A61K 31/5685	1
A61K 31/575	1
A61K 31/635	1
A61K 31/6615	1
A61K 31/664	1
A61K 31/665	1
A61K 31/7004	1
A61K 31/7016	1
A61K 31/7048	1
A61K 31/7056	1
A61K 31/706	1
A61K 31/7076	1
A61K 31/7088	1
A61K 31/711	1
A61K 31/713	1
A61K 31/728	1
A61K 35/744	1
A61K 35/745	1
A61K 35/761	1
A61K 35/768	1
A61K 36/235	1
A61K 36/534	1
A61K 36/575	1
A61K 36/708	1
A61K 36/752	1
A61K 36/8962	1
A61K 36/899	1
A61K 36/906	1
A61K 36/9066	1
A61K 39/015	1
A61K 39/145	1
A61K 39/215	1
A61K 39/235	1
A61K 39/245	1
A61K 39/295	1
A61K 39/385	1
A61K 8/362	1
A61K 8/368	1
A61K 8/898	1
A61K 9/133	1
A61M 5/145	1
A61N 5/067	1
B01D 17/025	1
B01D 17/038	1
B01D 25/164	1
B01F 13/00	1
B01F 25/314	1
B01F 5/06	1
B01J 20/281	1
B02C 13/286	1
B05B 15/528	1
B08B 9/032	1
B29C 64/106	1
B29C 64/171	1
B60J 7/185	1
B62D 33/027	1
B65D 85/812	1
B65D 85/816	1
C01B 32/158	1
C02F 9/04	1
C02F 9/08	1
C02F 9/10	1
C05F 17/914	1
C07C 11/167	1
C07C 29/132	1
C07C 51/265	1
C07C 57/145	1
C07C 69/732	1
C07C 69/734	1
C07D 207/337	1
C07D 207/452	1
C07D 215/227	1
C07H 15/232	1
C07K 14/075	1
C07K 14/415	1
C07K 14/435	1
C07K 14/535	1
C07K 14/565	1
C07K 14/605	1
C07K 14/715	1
C07K 14/775	1
C07K 5/097	1
C07K 5/117	1
C08K 5/375	1
C11D 3/386	1
C11D 3/395	1
C12G 3/005	1
C12M 1/107	1
C12N 15/861	1
C12N 15/867	1
C12N 5/071	1
C12N 5/073	1
C12N 5/075	1
C12N 5/076	1
C12N 5/078	1
C12N 5/0783	1
C12N 5/0784	1
C12N 5/079	1
C12N 5/0797	1
C12Q 1/6809	1
C12Q 1/6883	1
C12R 1/445	1
C22B 1/214	1
C22B 1/216	1
C22B 1/243	1
C22B 1/244	1
C22B 1/245	1
C23C 16/455	1
D04H 3/005	1
E03C 1/262	1
E04C 2/284	1
E04F 13/073	1
E04F 15/024	1
E21B 33/035	1
E21B 33/134	1
E21B 43/112	1
E21B 43/1185	1
E21B 47/125	1
F01N 3/037	1
F01N 3/038	1
F02C 7/052	1
F16K 31/122	1
G01B 3/1003	1
G01D 5/353	1
G01N 27/414	1
G01N 33/493	1
G01N 33/533	1
G01N 33/566	1
G01N 33/569	1
G01R 21/133	1
G01R 31/333	1
G05B 19/048	1
G05D 1/02	1
G06F 17/28	1
G06F 17/30	1
G06F 19/00	1
G06F 3/048	1
G06F 3/0481	1
G06F 3/0484	1
G06F 9/445	1
G06K 19/073	1
G06K 19/077	1
G06K 9/20	1
G06N 3/063	1
G06Q 50/30	1
G07D 7/162	1
G08B 13/196	1
G10L 19/008	1
H01L 23/00	1
H01L 23/522	1
H01L 23/58	1
H01L 23/66	1
H01M 2/12	1
H02J 5/00	1
H04B 10/112	1
H04B 10/2575	1
H04B 17/345	1
H04B 7/0404	1
H04B 7/0456	1
H04L 1/1607	1
H04L 1/1829	1
H04L 12/26	1
H04L 12/801	1
H04L 12/841	1
H04L 12/947	1
H04L 29/12	1
H04L 41/0681	1
H04L 67/306	1
H04N 13/128	1
H04N 13/161	1
H04N 13/172	1
H04N 13/194	1
H04N 19/105	1
H04N 19/117	1
H04N 19/119	1
H04N 19/124	1
H04N 19/126	1
H04N 19/157	1
H04N 19/174	1
H04N 19/176	1
H04N 19/196	1
H04N 19/593	1
H04N 19/597	1
H04N 21/234	1
H04N 21/236	1
H04N 21/2662	1
H04N 21/2668	1
H04N 21/422	1
H04N 21/4363	1
H04N 21/4402	1
H04N 21/4405	1
H04N 21/472	1
H04N 21/6334	1
H04N 21/8355	1
H04N 21/8358	1
H04N 21/8547	1
H04N 5/225	1
H04N 5/232	1
H04W 12/069	1
H04W 4/021	1
H04W 72/10	1
