ipc	ocorrencias_na_amostra
A61K 31/197	1
A61K 31/198	1
A61K 31/202	1
A61K 31/222	1
A61K 31/352	1
A61K 31/375	1
A61K 31/397	1
A61K 31/4015	1
A61K 31/415	1
A61K 31/4164	1
A61K 31/4178	1
A61K 31/4196	1
A61K 31/422	1
A61K 31/4245	1
A61K 31/435	1
A61K 31/4375	1
A61K 31/439	1
A61K 31/4402	1
A61K 31/4406	1
A61K 31/4409	1
A61K 31/4412	1
A61K 31/4422	1
A61K 31/4436	1
A61K 31/454	1
A61K 31/4545	1
A61K 31/4709	1
A61K 31/4725	1
A61K 31/4747	1
A61K 31/495	1
A61K 31/496	1
A61K 31/497	1
A61K 31/498	1
A61K 31/4985	1
A61K 31/525	1
A61K 31/5375	1
A61K 31/551	1
A61K 31/5513	1
A61K 31/554	1
A61K 31/555	1
A61K 31/593	1
A61K 31/7048	1
A61K 31/7068	1
A61K 31/7072	1
A61K 31/713	1
A61K 31/716	1
A61K 31/724	1
A61K 31/739	1
A61K 33/243	1
A61K 36/185	1
A61K 36/8962	1
A61K 36/899	1
A61K 36/906	1
A61K 39/102	1
A61K 39/108	1
A61K 39/112	1
A61K 39/215	1
A61K 39/235	1
A61K 8/891	1
A61K 8/895	1
A61K 8/898	1
A61K 9/107	1
A61M 5/158	1
A61M 5/178	1
A61N 5/067	1
A61N 5/073	1
A63B 21/008	1
A63B 21/062	1
A63B 23/035	1
B01D 33/067	1
B01D 33/073	1
B01D 35/143	1
B01D 35/147	1
B01F 13/10	1
B01F 15/00	1
B01F 15/02	1
B01F 15/04	1
B01F 17/00	1
B01F 17/54	1
B01F 23/231	1
B01F 7/00	1
B01F 7/16	1
B01F 7/18	1
B01J 20/282	1
B01J 20/284	1
B01J 20/285	1
B01J 35/10	1
B05C 3/109	1
B08B 9/053	1
B22F 3/105	1
B23K 26/042	1
B23K 26/364	1
B29C 64/118	1
B41J 3/407	1
B41M 5/382	1
B60K 17/346	1
B60T 13/565	1
B60T 8/171	1
B60T 8/175	1
B60T 8/1755	1
B60W 30/182	1
B60W 40/107	1
B62D 33/027	1
B62D 55/112	1
B65D 5/4805	1
B66F 9/075	1
C01B 32/158	1
C02F 1/461	1
C02F 11/147	1
C02F 9/04	1
C02F 9/08	1
C03C 3/087	1
C03C 3/091	1
C03C 3/112	1
C07C 1/207	1
C07C 11/167	1
C07C 29/132	1
C07C 29/141	1
C07C 29/151	1
C07C 29/154	1
C07C 31/125	1
C07C 43/164	1
C07C 5/333	1
C07D 207/277	1
C07D 213/803	1
C07D 271/113	1
C07D 295/185	1
C07D 491/048	1
C07D 491/107	1
C07F 9/535	1
C07F 9/576	1
C07H 19/067	1
C07H 19/073	1
C07H 19/167	1
C07H 19/207	1
C07H 19/213	1
C07K 14/035	1
C07K 14/165	1
C07K 14/435	1
C07K 14/475	1
C07K 14/535	1
C07K 14/725	1
C07K 14/735	1
C07K 14/765	1
C08F 4/654	1
C08F 4/656	1
C08F 4/659	1
C08G 63/672	1
C08G 63/685	1
C08G 77/388	1
C08K 5/053	1
C08K 5/098	1
C08K 5/134	1
C08K 5/1545	1
C08K 5/3417	1
C08K 5/526	1
C09D 11/102	1
C09D 11/322	1
C09K 8/035	1
C09K 8/592	1
C09K 8/594	1
C11D 3/386	1
C12C 1/033	1
C12C 1/067	1
C12N 15/115	1
C12N 15/861	1
C12N 5/071	1
C12N 5/0775	1
C12N 5/0787	1
C12Q 1/6806	1
C12Q 1/6853	1
C12Q 1/6888	1
C12R 1/225	1
C22B 1/214	1
C22B 1/216	1
C22B 1/243	1
C22B 1/244	1
C22B 1/245	1
D03D 15/02	1
D04H 1/555	1
D04H 3/153	1
E03C 1/262	1
E03C 1/282	1
E04F 13/072	1
E06B 3/263	1
E06B 3/663	1
E21B 33/038	1
E21B 33/064	1
E21B 47/005	1
E21B 47/008	1
E21B 47/022	1
F01N 3/035	1
F02M 35/104	1
F02M 35/112	1
F15B 1/033	1
F15B 11/046	1
F16D 25/0638	1
F16D 65/097	1
F16H 57/021	1
F16J 15/3204	1
F16L 3/015	1
F16L 3/227	1
F16L 55/172	1
F16L 55/175	1
F24S 25/634	1
F41H 5/007	1
G01D 5/353	1
G01F 23/296	1
G01N 27/623	1
G01N 27/624	1
G02B 1/115	1
G02B 1/116	1
G02B 6/293	1
G03F 7/027	1
G03F 7/038	1
G03F 7/075	1
G05B 19/042	1
G05B 19/418	1
G05F 1/565	1
G05F 1/614	1
G05F 1/618	1
G06F 16/2452	1
G06F 17/50	1
G06F 3/0484	1
G06F 3/0485	1
G06F 3/0488	1
G06F 9/448	1
G06K 9/20	1
G06K 9/38	1
G08B 13/196	1
G08G 1/017	1
G10K 11/168	1
G10L 19/005	1
G10L 19/032	1
G10L 21/0208	1
G10L 21/0232	1
G10L 21/038	1
H01L 23/12	1
H01L 23/36	1
H01L 23/367	1
H01L 23/528	1
H01L 51/00	1
H01L 51/42	1
H01M 2/20	1
H01P 1/203	1
H01S 3/067	1
H02G 15/064	1
H02M 3/158	1
H03K 17/567	1
H03K 17/687	1
H03K 19/0185	1
H03K 19/177	1
H03K 3/012	1
H03K 3/356	1
H04B 10/114	1
H04B 10/2575	1
H04B 7/0413	1
H04B 7/185	1
H04L 12/26	1
H04L 12/403	1
H04L 29/12	1
H04N 13/161	1
H04N 19/119	1
H04N 19/122	1
H04N 19/139	1
H04N 19/156	1
H04N 19/157	1
H04N 19/159	1
H04N 19/172	1
H04N 19/182	1
H04N 19/184	1
H04N 19/186	1
H04N 19/187	1
H04N 19/194	1
H04N 19/463	1
H04N 19/467	1
H04N 19/523	1
H04N 19/533	1
H04N 19/597	1
H04N 21/422	1
H04N 21/431	1
H04W 4/029	1
H04W 72/10	1
H05B 33/08	1
H05B 7/144	1
