query_id	query_text	num_pedido	titulo	resumo	relevancia_llm	relevancia_humana
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112017016833	MÓDULO ELETROLÍTICO DISCRETO DE CARTUCHO, SISTEMA E MÉTODO DE USAR O MESMO	CARTUCHO ELETROLÃTICO, SISTEMAS E MÃTODOS DE USAR O MESMO. Cartuchos eletrolÃ­ticos para, sistemas para, e mÃ©todos de eletrolisar uma soluÃ§Ã£o salina de Ã¡gua e um sal alcalino para produzir Ã¡gua eletrolisada Ã¡cida e Ã¡gua eletrolisada alcalina sÃ£o fornecidos. O sistema inclui uma cÃ¢mara interna para receber a soluÃ§Ã£o salina e pelo menos dois cartuchos eletrolÃ­ticos imersos em um banho salino. Cada cartucho eletrolÃ­tico inclui um eletrodo, uma membrana seletiva de Ã­on disposta em um lado do eletrodo de modo a definir um espaÃ§o adjacente a pelo menos uma porÃ§Ã£o do eletrodo, um inserto permeÃ¡vel cobrindo a membrana seletiva de Ã­on em um lado oposto do espaÃ§o, e uma placa de ligaÃ§Ã£o disposta no inserto permeÃ¡vel em um lado oposto ao lado faceando a membrana seletiva de Ã­on. Os mÃ©todos reciclam pelo menos porÃ§Ã£o de Ã¡gua eletrolisada alcalina na alimentaÃ§Ã£o de um carregado positivamente.	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR102021006014	PROCESSO ALTERNATIVO DE FABRICAÇÃO DE BARRILHA A PARTIR DE SALMOURA EXTRAÍDA DIRETO DO MAR	PROCESSO ALTERNATIVO DE FABRICAÇÃO DE BARRILHA A PARTIR DE SALMOURA EXTRAÍDA DIRETO DO MAR. A presente patente de invenção tem por objeto um processo industrial replicável e compacto de produção de barrilha a partir de salmoura e calcário, onde sua instalação é sugerida em região produtora de sal para que a captação de salmoura saturada seja feita diretamente da água do mar com posterior tratamento por membranas capazes de retirar resíduos de componentes não participantes do processo. Para o tratamento da salmoura, a água do mar é retirada para ser submetida a sucessivas filtragens em 3 etapas a fim de retirar os componentes indesejados ao processo; Na primeira filtragem, retira-se matéria grossa que possa existir na água como algas, pedras, animais, etc; A segunda filtragem, que ocorre na sequência, retira materiais particulados, como areia, detritos e fragmentos de minerais em suspensão; Já a terceira filtragem trata-se de uma desinfecção química e física, obtendo assim o que se chama de salmoura purificada.	1	1
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112020010687	COMPOSTOS PARA SEPARAÇÃO DE ELEMENTOS DE TERRAS RARAS E METAIS S, P, D, MÉTODO DE SEPARAÇÃO E USO DOS MESMOS	A presente invenção se refere a compostos de fórmula geral (I) para separa-ção cromatográfica de elementos de terras raras e/ou metais s, p, d, assim como ao método de separação de elementos de terras raras.	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR102022012852	DISPOSITIVO DE REAPROVEITAMENTO DE ÁGUA	DISPOSITIVO DE REAPROVEITAMENTO DE ÁGUA.A patente MAIS WATER DISPOSITIVO DE REAPROVETAMENTO DE ÁGUA trata-se de um dispositivo, que permite a utilização de água de reuso (que pode ser ares condicionados, máquinas de lavar roupas, calhas de telhados, etc.) em finalidades não potáveis (como mictórios, caixa de descarga de bacias sanitárias, torneiras de jardim, etc.) em andares inferiores ao andar da fonte de água de reuso. O dispositivo é um produto inovador voltado para o setor técnico de instalações hidráulicas prediais, sendo caracterizado por operar sem necessidade de energia elétrica (bombas ou outros dispositivos eletromecânicos) e sem nenhuma intervenção humana (como abertura e fechamento de algum registro). O dispositivo Mais Water opera integrando a água de reuso com a água do sistema convencional sem, no entanto, contaminar a rede hidráulica convencional da edificação. O dispositivo Mais Water recebe prioritariamente água de reuso e,somente quando esta for em volume insuficiente, recebe também água do sistema convencional, mantendo a operação normal nos pontos de utilização. O dispositivo é instalado de forma a ficar invisível e imperceptível, entre o forro e a laje superior do banheiro ou outro local dos andares inferiores. Para aumentar a capacidade de acumulação de água de reuso é possível a instalação de reservatórios complementares que podem ser instalados em série ou paralelo. Estes reservatórios possuem altura inferior a altura total do dispositivo Mais Water e são de pequenos diâmetros permitindo sua instalação sobre o forro entre a tubulação de esgoto dos andares superiores.	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112018067370	MÉTODO E APARELHO PARA REMOÇÃO DE OXIGÊNIO DA ÁGUA DO MAR.	A presente invenção refere-se a um método para remoção de oxigênio da água do mar que compreende as seguintes etapas: - levar uma corrente de água do mar (1) a ser tratada e um gás de arraste pressurizado (2) a um primeiro misturador (3) e misturar a água do mar (1) com gás de arraste (2); - levar a corrente combinada (4) de água do mar (1) e gás de arraste (2) a um primeiro separador em linha de gás/líquido (5) e separar a corrente (4) em uma fase rica em líquido (6) e rica em gás (11); - levar a corrente de líquido (6) e uma corrente de gás de arraste (7) contendo CO2 e água a um segundo misturador (8) e misturar a corrente de líquido (6) com a corrente de gás (7); - levar a corrente combinada (9) do segundo misturador (8) a um separador em linha de gás/líquido de segundo estágio (10) e separar a corrente combinada em uma fase rica em líquido (14) e rica em gás (15); - misturar a corrente de gás (11) do primeiro separador de gás/líquido (5) com uma corrente de água doce (22) e levar essa corrente combinada a um depurador de primeiro estágio (12) e remover uma porção principal do sal captado na corrente combinada do depurador (12); - levar a corrente de gás depletada de sal (16) do primeiro depurador (12) através de um trocador de calor ou preaquecedor elétrico (17) juntamente com uma corrente de combustível (18) para um desoxidante catalítico (13) e reagir o combustível (18) e oxigênio (19) a um CO2, H2O na corrente de gás de arraste (7) e misturar essa corrente de gás (7) com a corrente de líquido (6) do separador de primeiro estágio (5); - misturar a corrente de gás (15) do separador de segundo estágio (10) com água doce para remover ou diluir o sal captado na corrente de gás (15) e levar a corrente de gás resultante a um compressor (23); - combinar a corrente de gás depletada de sal (2) do compressor (23) e da água do mar (1) a ser tratada.	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR202021016819	DISPOSITIVO AUTOMATIZADO DE DESCARTE E FILTRAGEM DE ÁGUA DA CHUVA PARA APROVEITAMENTO E USO NÃO POTÁVEL	DISPOSITIVO AUTOMATIZADO DE DESCARTE E FILTRAGEM DE ÁGUA DA CHUVA PARA APROVEITAMENTO E USO NÃO POTÁVEL. O presente modelo de utilidade se refere a um dispositivo automatizado de descarte e filtragem de água da chuva para aproveitamento e uso não potável composto por um sistema de desvio (1), um sistema de filtragem (2) e uma caixa de controle (3) desses sistemas. Especificamente, o presente modelo de utilidade pertence ao campo da Engenharia Ambiental.	1	1
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112018003056	MÉTODO E USO DE ÁCIDO PERACÉTICO PARA REDUZIR EMISSÕES DE MERCÚRIO	Trata-se de um método para a redução e impedimento de emissões de mercúrio no ambiente de combustíveis fósseis queimados ou outros gases de exaustão com o uso de ácido peracético. O ácido peracético é usado para a captura de mercúrio a partir dos gases de combustão resultantes com o uso de um sistema ou depurador de dessulfurização de gás de combustão. O método usa ácido peracético em combinação com um depurador para capturar mercúrio e reduzir sua emissão e/ou reemissão com gases de chaminé. O método permite o uso de carvão como um limpador e fonte de combustível mais favorável ao meio ambiente, assim como capturar mercúrio a partir de outros sistemas de processamento.	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112022023009	COMPOSIÇÃO E MÉTODO PARA DESIDRATAÇÃO DE SUSPENSÕES AQUOSAS	COMPOSIÇÃO E MÉTODO PARA DESIDRATAÇÃO DE SUSPENSÕES AQUOSAS. Composições e métodos são fornecidos para a recuperação de minerais a partir de suspensão mineral, como a cal gerada nos processos de pulpação Kraft. Mais particularmente, a composição compreende co-polímeros de polialcoxilato, alcoxilatos de alquilenamina, e opcionalmente tensoativos aniônicos, que quando adicionados ao processo de desidratação mineral, auxiliam na recuperação do mineral.	0	1
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR102020026994	USO DE NANOPARTÍCULAS DE FERRITA DE COBALTO PARA A DETECÇÃO DE ÍONS FOSFATO EM MEIOS AQUOSOS E AMOSTRAS BIOLÓGICAS	USO DE NANOPARTÍCULAS DE FERRITA DE COBALTO PARA A DETECÇÃO DE ÍONS FOSFATO EM MEIOS AQUOSOS E AMOSTRAS BIOLÓGICAS. A presente invenção estende-se ao uso de nanopartículas de ferritas de cobalto (CoFeNPs) como uma plataforma simples e rápida para a detecção de íons fosfato em meios aquosos e em fluidos biológicos, para o monitoramento de efluentes e solos contaminados com agrotóxicos e fertilizantes fosfatados, muito utilizados na agricultura, e também para estimar os níveis de concentração de fosfatos em amostras biológicas (como sangue), que podem estar associados a vários problemas de saúde, como insuficiência renal, hipertensão, hiperfosfatemia, hipofosfatemia, problemas ósseos, insuficiência cardíaca e respiratória, dentre outras doenças, e a problemas ambientais. A presente metodologia é baseada na detecção de íons fosfato (por meio fluorescente, como resultado da troca dos oligonucleotídeos fluorescentes por íons fosfatos na superfície das CoFeNPs) e tem como objetivo permitir o desenvolvimento de protocolos simples, de alta sensibilidade, rápidos, e de baixo custo, para o sensoriamento de contaminantesambientais e para o diagnóstico simplificado de níveis de fosfato em amostras de fluidos biológicos	0	0
QN001	Tecnologias e processos para remover ou reduzir contaminantes químicos presentes em água e efluentes	BR112022012612	FILTRO PARA REMOVER COMPOSTOS ORGÂNICOS VOLÁTEIS, DISPOSITIVO DE PURIFICAÇÃO OU DESCONTAMINAÇÃO DO AR E MÉTODO PARA REMOVER COMPOSTOS ORGÂNICOS VOLÁTEIS	São divulgados um filtro e um método para remover VOCs do tipo aldeído do ar interno. O filtro inclui um invólucro que atua como um recipiente. O recipiente compreende duas paredes opostas permeáveis ao ar através das quais um volume do referido ar interno flui e aloja um ou mais polifenóis naturais e um agente catalítico. O filtro atua como um filtro de absorção, reagindo irreversivelmente com os VOCs do tipo aldeído do ar interno. Os polifenóis naturais são polifenóis em pó selecionados a partir de resveratrol (3,4',5-trihidroxiestilbeno), resorcinol (1,3-benzenodiol), pirogalol (1,2,3-benzenotriol), floroglucinol (1,3,5-benzenotriol) e hidroquinona (1,4-benzenodiol), ou suas combinações. O agente catalítico é um ácido sulfônico sólido. Uma mistura dos polifenóis naturais e o referido agente catalítico estão presentes, no recipiente, como elementos de bloco compactados. Também é divulgado um dispositivo de purificação/descontaminação do ar compreendendo o filtro.	0	0
